"","score","review","writer","time"
"82",9,"용감하고 사랑스러운 딜릴리!  ","Hongmisoya(msy6****)","2019.06.06 14:08"
"83",9,"영화의 환상과 아름다움에 완벽히 충실함.  ","라즈알굴(dlwo****)","2019.05.30 23:31"
"84",8,"그시대 상황을 고려한 사회비판?예술만화에요 실제사진에 애니메이션 그래픽을 넣어서 이야기가 진행되는데 어린이들이 보기에는 설명이 좀 필요할거에요 초반에 풀나체로 등장하는 장면부터 물어보겠죠? 여자들이 보기에 좋은 내용이 많고 성인이 보기엔 좋은영화에요  ","wotc****","2019.06.01 19:37"
"85",8,"엄청난 색감의 그림체다... 눈과 귀가 황홀했어요  ","풀장(pool****)","2019.06.12 22:59"
"86",8,"관람객눈이 즐거웠고, 파리로 떠나고 싶어졌다. 미술을 좋아하는 사람들에게 추천할만한 영화. 반가운 인물과 작품들을 만나볼 수 있어 좋았다. 전하려 하는 메세지가 분명한 듯 보였지만 어딘가 약간  부족한 느낌이였다., 개인적으로 조금 아쉬웠다.  ","선히(sunn****)","2019.06.10 15:04"
"87",8,"관람객생각치 못한 심오한 주제를 다룬 영화. 아이들과 함께 꼭 보세요  ","비아(piar****)","2019.06.05 09:56"
"88",8,"관람객못봤지만 좋았을거 같아요, 다음 타임꺼 봐야겠네요  ","sora****","2019.06.01 22:48"
"89",8,"관람객영상미가 매우 아름다웠고 파리를 직접 보는듯한 생공감이 너무 참신하고 좋았습니다. 가만 스토리가 조금 약한 느낌이 들었네요.. 전체적으로 잘 봤습니다~  ","kath****","2019.06.30 16:30"
"90",8,"영어자막 번역한 티가 너무 나는 자막이 아쉽지만 볼만한 작품  ","bute****","2019.06.09 21:19"
"91",8,"어렸을때 나 이 감독이 만든 거 봤는데 OO 만에 같은 감독인 거 알아봄. 작가는 작가네  ","nature(cine****)","2019.05.31 09:37"
"92",8,"관람객프랑스 소리도 예쁜 영화예요  ","sil(dyer****)","2019.06.18 23:08"
"93",7,"관람객그림과 파리의 배경이 너무 아름답게 어울렸어요 화가들과 그들의 그림을 발견하는 것도 즐거웠고 여주인공이 너무 귀여웠어요! 엔딩 크래딧이 올라갈 때 나도 모르게 박수를 치고 싶을 정도로 기분 좋아지는 영화였어요!  ","역광이라예쁜가요(andp****)","2019.06.16 23:52"
"94",7,"관람객한 장면 한 장면이  더할나위 없이 아름답지만, 자신들이 전달하려는 메시지에 대한 고민 대신 아름다움에만 치중해 공허하게 느껴진다.  ","aiuo****","2019.01.03 16:08"
"95",7,"2시간동안 파리로 떠나는기분 아이들의 순수함이 너무 귀엽다  ","HM(ahm3****)","2019.06.04 18:31"
"96",7,"한마디로는 프랑스판 디즈니. 그러니까, 동화를 프랑스 식 애니메이션으로 뽑아냈고, 교훈도 비슷하다고 느껴졌다. 개인차가 있겠으나 딜릴리의 귀여움은 사건의 개연성을 압도...까지는 못하지만, 에이~ 뭐 이정도야 하면서 보게 도와준다. 작화, ost도 짱  ","한유(iamh****)","2019.06.04 03:04"
"97",7,"파리구경은 잘 했지만... 내용을 잃었다  ","일공(4561****)","2019.06.10 08:24"
"98",6,"너무 보고싶은데 상영관 왜이렇게 적나요,,?? ㅜ  ","Hyun_A(gusd****)","2019.06.01 01:42"
"99",6,"비주얼은 매우 환상적이었지만 이야기에 흡입력은 좀 떨어지네요.  ","Su(yhs4****)","2019.06.02 21:10"
"100",6,"그림체나 노래는 좋은데 스토리가.. 예술영화라 그런지 스토리는용맹하고 용감한 딜릴리가 파리의 미스터리 유괴사건을해결하는 내용 재밌진 않음!!  ","huool(mjhs****)","2019.06.05 21:50"
"101",6,"영상은 아름다웠지만 스토리는 글쎄요. 어른스러운 아이 캐릭터를 좋아하지 않는지라 그리 정이가지는 않았습니다. 파리에 대한 환상이 있는 분들은 더 재미있게 볼 수 있겠어요.  ","로웨나(rowe****)","2019.06.04 19:05"
"102",6,"예쁘긴 했지만 스토리가 아쉬워요..  ","강대웅(daew****)","2019.05.31 10:50"
"103",5,"관람객영상미가 무척 좋았어요  ","티셋(fizi****)","2019.06.30 00:15"
"104",5,"완전 PC종합선물세트임. 서사, 개연성 이런거 따지지말고 그림만 보면 좋을 영화...  ","iuni****","2019.06.01 15:38"
"105",4,"기분 좋아진다는 평점에 낚임에릭 사티 연주까지는 좋았다.후반부에 너무 경악을 금치 못해서 색채고 나발이고 기분 잡침  ","qkth****","2019.06.18 01:48"
"106",2,"여자아이 학대하는 만화가 전체관람가라니..조악한 줄거리... 지루한 전개...그저 '학대받는 여성은 일어나서 싸워야 한다.'는 주제를 드러내기 위해 억지로 전개되는 내용입니다.  ","신중하고침착하게(leex****)","2019.06.08 09:32"
"107",1,"그림이 아름답구나, 당일에는 매력적인 시대에 사는 구나 하고 보다가 후반에 경악을 금치 못함... 왜 그런 설정을 넣었을까.. 전혀 감동도 교훈도 느낄 수 없는 소름끼치는 소재일 뿐.. 0점 주고 싶지만 최소가 1이네.  ","라라(chri****)","2019.06.03 23:39"
"108",1,"영상미는 꽤 괜찮았지만스토리는 경악을 금치 못할 정도로 조악하네요각종 인물과 사상을 모조리 넣고 싶은 욕심으로 억지로 짜집기된 내용차라리 그냥 다른 예술작품을 보는 편이 정신건강에 좋을 것 같아요  ","Danic(sjw4****)","2019.06.14 21:03"
"109",1,"어린 캐릭터를 방패막 세워 사상을 선전하는 작태가 굉장히 졸렬하네요  ","성 게(chlw****)","2019.06.06 20:50"
