"","score","review","writer","time"
"63","10","기생충 볼려다가 이거봣는데 진짜 선택 잘한거같습니다 감동적이고 따듯해지고 마음이 평온해지는 이번년 최고의 영화  ","sky5****","2019.06.20 11:21"
"64","10","개비개비 지키던 4명의 처키인형들은 희생만하고 그곳에서 남아있는 모습이 너무안타까웠습니다  그들도 새로운 환경으로 같이보냈다면 어땟을까요  ","하루의날(taek****)","2019.06.23 04:26"
"65","10","전편에서 늘 나오던 ""난 너의 친구야"" 노래 나오는데 울컥..눈물이...아이들에겐 장난감은 단순한 물건에 끝나지 않지.. 그 마음은 장난감만이 알아.딸 보여주러 갔다가 내가 울고 옴.  ","무이주세요(drea****)","2019.06.21 00:33"
"66","10","예상치못한 보핍의 반전매력♡  ","ajsu****","2019.06.20 12:39"
"67","10","33살 남잔데 나 ㅂㅅ인가..  개비개비한테 감정이입  되서  눈물이 흘.. 아니 쏟아졌다.  ","tkth****","2019.06.21 20:57"
"68","10","영화에서 악당을 꼭 물리쳐야만 하는것이 정답이 아님을 알려주는 픽사와 디즈니다운 엔딩! 개비개비를 이해해주고 주인과 함께 할 수 있도록 도와준 것은 너무 감동적이었다.  ","봄봄봄(prin****)","2019.06.21 13:34"
"69","10","감탄하면서 봤다.역대 가장 창의적인 애니영화이고, 이건 철학영화다. 존재함에대한 존중을 가장잘보여준다.자유란무엇인가?!  ","조던(mape****)","2019.06.20 17:19"
"70","10","보는 내내 너무 행복했습니다. 웃고 울고 다시 웃다보니 끝났습니다. 토이스토리와 함께해서 행복했습니다 ㅎㅎ  ","아가페준(flog****)","2019.06.20 12:24"
"71","10","토끼 두마리 너무 웃겨요 ㅋㅋㅋㅋ바이바이 장난감들..  ","김용갈(pos0****)","2019.06.20 18:49"
"72","10","5편도 존버해야지!!!!  ","소희(sohu****)","2019.06.20 19:08"
"73","10","""무한한 공간 ....저너머로""이대사가 이렇게 쓰일줄은 상상도못했다...  ","yh95****","2019.06.22 12:53"
"74","10","토이스토리4의 내용은 카니발을 배경으로 하는 우디의 포스터가 복선이었다. 여운이 많이 남는 영화. 한편으로는 알면서도 어린 보니에게 살짝 서운한 마음이 드는 이번 시리즈.  ","ilikecheese(ilik****)","2019.06.22 11:28"
"75","10","보니 실망이야....  ","눈누난나(joos****)","2019.06.21 19:58"
"76","10","우디의 삶을 존중해 사랑해 우디야  ","인생뱉뱉(dpwl****)","2019.06.21 00:08"
"77","10","웃음, 슬픔, 호러, 감동 모두 다 잡았습니다. 전작들 기억 못 해도 충분히 본편만으로도  재밌게 볼 수 있어요!  ","mell****","2019.06.20 16:42"
"78","10","""Trash...?""     ""No, We are TOYS!""  ","박랑자(myhu****)","2019.06.20 13:45"
"79","10","진짜...어떻게 이렇게 계속 재밌지?  ","dsaddas(yuif****)","2019.06.20 19:46"
